text,predicted_label
Pelayanan buruk dan respon admin sangat lambat. (Variasi 0),Negatif
Fungsi produk berjalan normal seperti biasa. (Variasi 1),Netral
Paket sudah diterima dengan kondisi standar. (Variasi 2),Netral
Kualitas tidak sesuai dengan harga yang dibayar. (Variasi 3),Negatif
Fungsi produk berjalan normal seperti biasa. (Variasi 4),Netral
Pengiriman cepat dan kurirnya sangat ramah. (Variasi 5),Positif
"Ukuran produk sedang, tidak terlalu besar atau kecil. (Variasi 6)",Netral
Pengiriman cepat dan kurirnya sangat ramah. (Variasi 7),Positif
Kualitas tidak sesuai dengan harga yang dibayar. (Variasi 8),Negatif
Pengalaman belanja yang sangat memuaskan di sini. (Variasi 9),Positif
Pengalaman belanja yang sangat memuaskan di sini. (Variasi 10),Positif
"Saya menyesal membeli produk ini, tidak berguna. (Variasi 11)",Negatif
"Pengiriman sangat lama, hampir dua minggu. (Variasi 12)",Negatif
"Pengiriman sangat lama, hampir dua minggu. (Variasi 13)",Negatif
Pengalaman belanja yang sangat memuaskan di sini. (Variasi 14),Positif
Fungsi produk berjalan normal seperti biasa. (Variasi 15),Netral
Harganya cukup kompetitif dibandingkan toko lain. (Variasi 16),Netral
Saya sangat senang dengan pelayanan yang diberikan. (Variasi 17),Positif
Saya sangat senang dengan pelayanan yang diberikan. (Variasi 18),Positif
Pelayanan buruk dan respon admin sangat lambat. (Variasi 19),Negatif
Pengiriman cepat dan kurirnya sangat ramah. (Variasi 20),Positif
Pengalaman belanja yang sangat memuaskan di sini. (Variasi 21),Positif
"Barang rusak saat sampai, saya sangat kecewa. (Variasi 22)",Negatif
"Kualitas barangnya jempolan, sangat direkomendasikan. (Variasi 23)",Positif
"Saya menyesal membeli produk ini, tidak berguna. (Variasi 24)",Negatif
"Saya menyesal membeli produk ini, tidak berguna. (Variasi 25)",Negatif
Pelayanan buruk dan respon admin sangat lambat. (Variasi 26),Negatif
Barang sampai sesuai dengan deskripsi produk. (Variasi 27),Netral
"Barang rusak saat sampai, saya sangat kecewa. (Variasi 28)",Negatif
Harganya cukup kompetitif dibandingkan toko lain. (Variasi 29),Netral
Pengiriman cepat dan kurirnya sangat ramah. (Variasi 30),Positif
Pengiriman cepat dan kurirnya sangat ramah. (Variasi 31),Positif
Produk ini sangat luar biasa dan membantu saya. (Variasi 32),Positif
Kualitas tidak sesuai dengan harga yang dibayar. (Variasi 33),Negatif
"Kualitas barangnya jempolan, sangat direkomendasikan. (Variasi 34)",Positif
"Ukuran produk sedang, tidak terlalu besar atau kecil. (Variasi 35)",Netral
Pelayanan buruk dan respon admin sangat lambat. (Variasi 36),Negatif
Pelayanan buruk dan respon admin sangat lambat. (Variasi 37),Negatif
Saya sangat senang dengan pelayanan yang diberikan. (Variasi 38),Positif
